CODE,STATE,CITY,LON,LAT,X,Y,POP,GDP
16017,ID,Bonner County,-116.59694,48.312512,-1679.1533539156587,5789.79753326275,41066,984815500
16019,ID,Bonneville County,-111.621878,43.395171,-1495.883951847036,5109.02224172434,107788,2578911700
16021,ID,Boundary County,-116.524619,48.773065,-1652.7432710044593,5837.435994779961,10961,227935100
16023,ID,Butte County,-113.177627,43.6851,-1611.0925169372508,5182.369672853496,2653,58319300
16025,ID,Camas County,-114.804427,43.463396,-1751.057573412014,5203.884991796806,1052,25866800
16027,ID,Canyon County,-116.708527,43.623051,-1898.0149868079577,5279.690527160005,198921,3563683700
16029,ID,Caribou County,-111.544171,42.786273,-1510.7304894156996,5039.291137643255,6808,171372900
16031,ID,Cassia County,-113.605498,42.288635,-1698.651763385476,5038.841597933963,23369,425948600
16033,ID,Clark County,-112.36112,44.286251,-1523.3355625679014,5227.097649907878,901,13651300
16035,ID,Clearwater County,-115.6535,46.67257,-1682.8986523262565,5582.661642864107,8560,171879100
16037,ID,Custer County,-114.252251,44.273341,-1674.3272498423773,5277.631661569727,4234,96794300
16039,ID,Elmore County,-115.470751,43.394826,-1807.7770742448624,5216.104659840284,26175,558211900
16041,ID,Franklin County,-111.822955,42.173589,-1554.954460110961,4978.132964641567,12914,243491400
16043,ID,Fremont County,-111.484429,44.218091,-1455.9240061635933,5196.883682909449,12945,262810900
16045,ID,Gem County,-116.398784,44.061473,-1854.1229990682243,5318.44124165768,16731,330028000
16047,ID,Gooding County,-114.82142,42.973185,-1772.1258518410161,5149.931761942846,15233,299912700
16049,ID,Idaho County,-115.467376,45.849237,-1704.2537797264354,5486.88144851089,16312,319891500
16051,ID,Jefferson County,-112.318588,43.796965,-1537.8041366502678,5171.720518724311,26792,522470400
16053,ID,Jerome County,-114.263009,42.691171,-1737.5026744150166,5102.3254470062675,22653,401150400
16055,ID,Kootenai County,-116.694918,47.677113,-1715.4736230210494,5723.884089993716,145046,3734110700
16057,ID,Latah County,-116.730974,46.81892,-1757.3316296982211,5631.592088282102,38339,872806600
16059,ID,Lemhi County,-113.887841,44.928789,-1619.521819117427,5339.742447565422,7790,172424300
16061,ID,Lewis County,-116.42376,46.236328,-1760.3911186256055,5558.3979090617195,3812,80630500
16063,ID,Lincoln County,-114.153899,42.986181,-1717.077374350719,5132.028358443003,5260,90495100
16065,ID,Madison County,-111.65655,43.789709,-1484.8156197322671,5153.736419169674,37916,555579900
16067,ID,Minidoka County,-113.64001,42.856937,-1680.0078952639153,5103.122886604952,20279,419252700
16069,ID,Nez Perce County,-116.760903,46.333766,-1781.5941698150514,5579.557451163798,39779,1001518400
16071,ID,Oneida County,-112.520465,42.18389,-1612.5046762463326,4997.561939328221,4245,85276900
16073,ID,Owyhee County,-116.142655,42.593063,-1896.0702055546883,5147.581518120421,11364,191527000
16075,ID,Payette County,-116.748655,44.00274,-1884.6088540017824,5322.9654799424925,22700,469635100
16077,ID,Power County,-112.844407,42.694126,-1620.7944641327663,5063.132157416364,7731,145934600
16079,ID,Shoshone County,-115.885092,47.347694,-1670.575381833793,5663.319354805895,12571,267188500
16081,ID,Teton County,-111.211765,43.760994,-1450.0238491880177,5139.294131738815,10285,248051900
16083,ID,Twin Falls County,-114.665639,42.352309,-1783.978041580114,5076.238585012262,80004,1724359300
16085,ID,Valley County,-115.637875,44.771532,-1763.4081880601047,5373.432929019792,9720,232910200
16087,ID,Washington County,-116.79783,44.448213,-1868.8706684636134,5373.705724881165,10025,183893200
17001,IL,Adams County,-91.194961,39.986052,141.7902975804219,4434.644016779162,67081,1635410000
17003,IL,Alexander County,-89.349506,37.183683,291.438235824108,4117.834488479622,7364,108464200
17005,IL,Bond County,-89.436592,38.885924,288.6592166565169,4306.939598683774,17313,395896500
17007,IL,Boone County,-88.824295,42.318983,349.6707041513855,4686.805082987323,53851,1409254400
17009,IL,Brown County,-90.750309,39.962069,179.6572682326433,4430.286237657468,6859,144485400
17011,IL,Bureau County,-89.528377,41.401304,288.64585234370026,4586.3922635984845,34115,931465200
17013,IL,Calhoun County,-90.666295,39.164262,183.2202948066808,4341.41086292518,4999,132010200
17015,IL,Carroll County,-89.926485,42.059084,257.8488387292687,4660.48093815489,14926,395439600
17017,IL,Cass County,-90.245704,39.969202,222.7970690259603,4429.385538402523,13254,321563000
17019,IL,Champaign County,-88.197201,40.13915,398.01374911024,4443.8886230304315,205766,5365953700
17021,IL,Christian County,-89.279593,39.545524,304.1208711417145,4379.798502949336,34200,795597200
